Player_1,Player_2,Player_3,Player_4,Player_5,Player_6,Player_7,Player_8,Player_9,Player_10
"[4404458402, 'ASTROBOY99', 280, 235, 'JUNGLE', 'CHALLENGER', 'I', 1000, True, False, 270, 'SummonerSmite', 'SummonerFlash', 'Diana']","[4404458402, 'Ssumdayday', 273, 219, 'TOP', 'CHALLENGER', 'I', 1308, True, False, 298, 'SummonerDot', 'SummonerTeleport', 'Sejuani']","[4404458402, 'The Tank Man', 715, 684, 'UTILITY', 'CHALLENGER', 'I', 1051, True, False, 555, 'SummonerFlash', 'SummonerHeal', 'Sona']","[4404458402, 'Dragoon', 252, 210, 'TOP', 'CHALLENGER', 'I', 1111, True, False, 260, 'SummonerTeleport', 'SummonerFlash', 'Illaoi']","[4404458402, 'Fragile Fantasy', 179, 144, 'JUNGLE', 'CHALLENGER', 'I', 914, True, False, 57, 'SummonerSmite', 'SummonerFlash', 'Nunu']","[4404458402, 'Makima2', 284, 235, 'MIDDLE', 'GRANDMASTER', 'I', 706, False, False, 75, 'SummonerFlash', 'SummonerDot', 'Sylas']","[4404458402, 'FAFSA ABUSERS', 397, 379, 'BOTTOM', 'MASTER', 'I', 194, False, False, 488, 'SummonerFlash', 'SummonerHeal', 'Sivir']","[4404458402, 'Armored Mawdad', 528, 490, 'UTILITY', 'GRANDMASTER', 'I', 803, False, True, 288, 'SummonerFlash', 'SummonerDot', 'Taric']"

"[4406353188, 'FIXQUEUETIMES', 104, 57, 'TOP', 'GRANDMASTER', 'I', 507, False, False, 45, 'SummonerFlash', 'SummonerDot', 'Jax']","[4406353188, 'Rivëń', 147, 126, 'JUNGLE', 'GRANDMASTER', 'I', 774, True, False, 199, 'SummonerSmite', 'SummonerFlash', 'Khazix']","[4406353188, 'hoidro', 283, 258, 'MIDDLE', 'GRANDMASTER', 'I', 811, False, True, 656, 'SummonerDot', 'SummonerFlash', 'Fizz']","[4406353188, 'Deadsesne', 256, 226, 'BOTTOM', 'GRANDMASTER', 'I', 497, False, True, 293, 'SummonerFlash', 'SummonerTeleport', 'Kaisa']","[4406353188, 'Joyami', 477, 458, 'UTILITY', 'GRANDMASTER', 'I', 503, False, False, 964, 'SummonerFlash', 'SummonerHeal', 'Sona']","[4406353188, 'SappyMaskSalesmn', 394, 333, 'TOP', 'CHALLENGER', 'I', 915, True, False, 91, 'SummonerFlash', 'SummonerTeleport', 'Fiora']","[4406353188, 'Izateylon', 480, 447, 'JUNGLE', 'GRANDMASTER', 'I', 838, False, False, 608, 'SummonerSmite', 'SummonerFlash', 'Graves']","[4406353188, 'Miseviv', 173, 147, 'MIDDLE', 'CHALLENGER', 'I', 870, False, True, 818, 'SummonerFlash', 'SummonerDot', 'Sylas']","[4406353188, 'Eternix', 460, 430, 'BOTTOM', 'GRANDMASTER', 'I', 634, False, False, 659, 'SummonerFlash', 'SummonerExhaust', 'Jhin']","[4406353188, 'Tempos', 884, 827, 'UTILITY', 'CHALLENGER', 'I', 1320, True, True, 963, 'SummonerDot', 'SummonerFlash', 'Zilean']"

"[4406209323, 'GRIZZLEY', 285, 231, 'TOP', 'CHALLENGER', 'I', 1254, True, False, 86, 'SummonerFlash', 'SummonerTeleport', 'Kled']","[4406209323, 'vickixiaobaobe1', 204, 197, 'JUNGLE', 'MASTER', 'I', 314, False, False, 297, 'SummonerFlash', 'SummonerSmite', 'Graves']","[4406209323, '0 n a t', 1032, 1007, 'MIDDLE', 'GRANDMASTER', 'I', 524, True, False, 640, 'SummonerHaste', 'SummonerFlash', 'Galio']","[4406209323, 'A D', 118, 93, 'BOTTOM', 'GRANDMASTER', 'I', 758, False, False, 652, 'SummonerFlash', 'SummonerHeal', 'MissFortune']","[4406209323, 'Pockus', 470, 437, 'UTILITY', 'CHALLENGER', 'I', 971, False, True, 616, 'SummonerFlash', 'SummonerDot', 'Renata']","[4406209323, 'Manco', 171, 137, 'TOP', 'GRANDMASTER', 'I', 730, False, False, 462, 'SummonerDot', 'SummonerFlash', 'Teemo']","[4406209323, 'Pentaless', 389, 328, 'JUNGLE', 'CHALLENGER', 'I', 1405, True, True, 146, 'SummonerSmite', 'SummonerFlash', 'Nunu']","[4406209323, 'HIGH APM HOT GF', 266, 233, 'MIDDLE', 'MASTER', 'I', 370, False, False, 280, 'SummonerDot', 'SummonerFlash', 'Fizz']","[4406209323, 'Nonstopping', 88, 64, 'BOTTOM', 'CHALLENGER', 'I', 866, False, False, 99, 'SummonerFlash', 'SummonerBoost', 'Draven']","[4406209323, 'Swkeeee', 337, 310, 'UTILITY', 'GRANDMASTER', 'I', 817, False, False, 903, 'SummonerDot', 'SummonerFlash', 'Nami']"

"[4406221230, 'VXzihaopwdl', 82, 71, 'TOP', 'MASTER', 'I', 362, True, False, 140, 'SummonerFlash', 'SummonerTeleport', 'Mordekaiser']","[4406221230, '100 Fanatiik', 129, 99, 'JUNGLE', 'MASTER', 'I', 449, False, False, 157, 'SummonerSmite', 'SummonerFlash', 'Viego']","[4406221230, 'NebuIa', 711, 644, 'MIDDLE', 'CHALLENGER', 'I', 905, False, False, 160, 'SummonerFlash', 'SummonerDot', 'Zoe']","[4406221230, 'MONSTER CHAD GOD', 811, 803, 'BOTTOM', 'MASTER', 'I', 466, False, True, 658, 'SummonerHeal', 'SummonerFlash', 'Caitlyn']","[4406221230, 'new story', 380, 314, 'UTILITY', 'CHALLENGER', 'I', 903, False, False, 116, 'SummonerFlash', 'SummonerExhaust', 'Lulu']","[4406221230, 'Spentcer', 181, 147, 'TOP', 'GRANDMASTER', 'I', 613, False, False, 500, 'SummonerFlash', 'SummonerDot', 'Urgot']","[4406221230, 'TE AMO KARLA ', 417, 347, 'JUNGLE', 'CHALLENGER', 'I', 1258, True, False, 100, 'SummonerSmite', 'SummonerFlash', 'Diana']","[4406221230, 'Jakoshade', 159, 139, 'MIDDLE', 'MASTER', 'I', 220, False, False, 368, 'SummonerFlash', 'SummonerDot', 'Zed']","[4406221230, 'Artorias X', 1000, 958, 'BOTTOM', 'GRANDMASTER', 'I', 758, False, False, 319, 'SummonerFlash', 'SummonerHeal', 'Lucian']","[4406221230, 'rovex7', 318, 268, 'UTILITY', 'CHALLENGER', 'I', 1018, False, True, 99, 'SummonerFlash', 'SummonerDot', 'Nami']"

"[4401294929, 'Lucky', 240, 218, 'TOP', 'GRANDMASTER', 'I', 543, True, False, 600, 'SummonerTeleport', 'SummonerFlash', 'Jax']","[4401294929, 'Paradise Valley', 310, 258, 'UTILITY', 'GRANDMASTER', 'I', 695, False, False, 79, 'SummonerFlash', 'SummonerDot', 'Blitzcrank']","[4401294929, 'First Kyu', 284, 250, 'MIDDLE', 'GRANDMASTER', 'I', 725, False, False, 329, 'SummonerDot', 'SummonerFlash', 'Ekko']","[4401294929, 'Doxa', 335, 305, 'BOTTOM', 'DIAMOND', 'I', 75, False, False, 497, 'SummonerFlash', 'SummonerHeal', 'Jinx']","[4401294929, 'I LUV U SENPAI', 218, 125, 'JUNGLE', 'CHALLENGER', 'I', 868, False, True, 432, 'SummonerFlash', 'SummonerSmite', 'Khazix']","[4401294929, 'GeneralSn1per', 384, 311, 'TOP', 'CHALLENGER', 'I', 1528, True, False, 99, 'SummonerTeleport', 'SummonerDot', 'Gwen']","[4401294929, 'My Idol Jennie K', 322, 299, 'JUNGLE', 'GRANDMASTER', 'I', 721, False, False, 465, 'SummonerFlash', 'SummonerSmite', 'Pantheon']","[4401294929, 'Rathma', 196, 156, 'MIDDLE', 'CHALLENGER', 'I', 898, False, False, 448, 'SummonerFlash', 'SummonerDot', 'Neeko']","[4401294929, 'Laserholic', 111, 104, 'BOTTOM', 'GRANDMASTER', 'I', 575, True, False, 237, 'SummonerHaste', 'SummonerFlash', 'Aphelios']","[4401294929, 'VernagVgS', 75, 49, 'UTILITY', 'MASTER', 'I', 397, False, False, 53, 'SummonerFlash', 'SummonerDot', 'Alistar']"

"[4404442813, 'White Snow', 493, 479, 'TOP', 'MASTER', 'I', 465, False, False, 658, 'SummonerFlash', 'SummonerTeleport', 'Rengar']","[4404442813, 'Cat1v5', 778, 718, 'MIDDLE', 'MASTER', 'I', 388, False, True, 165, 'SummonerFlash', 'SummonerHaste', 'Taliyah']","[4404442813, 'Report Yi', 101, 53, 'JUNGLE', 'GRANDMASTER', 'I', 719, False, False, 40, 'SummonerFlash', 'SummonerSmite', 'MasterYi']","[4404442813, 'melke', 701, 665, 'BOTTOM', 'GRANDMASTER', 'I', 812, True, True, 340, 'SummonerHeal', 'SummonerFlash', 'Zeri']","[4404442813, 'rovex7', 318, 268, 'UTILITY', 'CHALLENGER', 'I', 1018, False, True, 98, 'SummonerFlash', 'SummonerDot', 'Lulu']","[4404442813, 'ueotan', 257, 210, 'TOP', 'GRANDMASTER', 'I', 698, False, False, 445, 'SummonerFlash', 'SummonerHaste', 'Garen']","[4404442813, 'Kills on me plz', 371, 346, 'JUNGLE', 'MASTER', 'I', 404, False, False, 85, 'SummonerSmite', 'SummonerFlash', 'Khazix']","[4404442813, 'Dugong2', 92, 61, 'MIDDLE', 'DIAMOND', 'I', 32, False, False, 46, 'SummonerFlash', 'SummonerHaste', 'Swain']","[4404442813, 'FAFSA ABUSERS', 397, 379, 'BOTTOM', 'MASTER', 'I', 194, False, False, 487, 'SummonerFlash', 'SummonerExhaust', 'Nilah']","[4404442813, 'CE JT', 131, 109, 'UTILITY', 'MASTER', 'I', 142, True, False, 48, 'SummonerDot', 'SummonerFlash', 'Nautilus']"

"[4407028812, 'Chanman Reformed', 149, 94, 'TOP', 'GRANDMASTER', 'I', 613, False, True, 81, 'SummonerHaste', 'SummonerDot', 'Olaf']","[4407028812, 'Izateylon', 480, 447, 'JUNGLE', 'GRANDMASTER', 'I', 838, False, False, 608, 'SummonerSmite', 'SummonerHaste', 'Hecarim']","[4407028812, 'Kxchu', 368, 328, 'MIDDLE', 'CHALLENGER', 'I', 992, True, False, 736, 'SummonerDot', 'SummonerFlash', 'Leblanc']","[4407028812, 'Dacryagogue', 287, 246, 'BOTTOM', 'CHALLENGER', 'I', 911, False, False, 890, 'SummonerBoost', 'SummonerFlash', 'Sivir']","[4407028812, 'new story', 380, 314, 'UTILITY', 'CHALLENGER', 'I', 903, False, False, 117, 'SummonerFlash', 'SummonerExhaust', 'Lulu']","[4407028812, 'adc hunter', 169, 124, 'TOP', 'CHALLENGER', 'I', 1215, True, True, 77, 'SummonerDot', 'SummonerFlash', 'MasterYi']","[4407028812, '10X JG', 195, 171, 'JUNGLE', 'GRANDMASTER', 'I', 499, False, False, 48, 'SummonerFlash', 'SummonerSmite', 'Vi']","[4407028812, 'FR0M Anyang', 128, 91, 'MIDDLE', 'CHALLENGER', 'I', 926, False, False, 48, 'SummonerTeleport', 'SummonerFlash', 'Azir']","[4407028812, 'ikeai', 73, 65, 'BOTTOM', 'GRANDMASTER', 'I', 606, False, False, 140, 'SummonerFlash', 'SummonerHeal', 'Kaisa']","[4407028812, 'MaRiTiMuS', 275, 262, 'UTILITY', 'GRANDMASTER', 'I', 514, True, False, 519, 'SummonerDot', 'SummonerFlash', 'Leona']"
